iter	Passed	Remaining
284	40327	101173
285	40445	100971
286	40615	100901
287	40674	100557
288	40774	100313
289	40901	100138
290	41031	99970
291	41155	99788
292	41273	99592
293	41396	99407
294	41516	99217
295	41652	99065
296	41771	98872
297	41945	98811
298	42079	98654
299	42199	98466
300	42320	98279
301	42447	98107
302	42567	97919
303	42686	97729
304	42833	97605
305	43006	97538
306	43126	97351
307	43272	97223
308	43399	97052
309	43525	96878
310	43657	96719
311	43820	96630
312	43982	96535
313	44110	96368
314	44260	96248
315	44384	96073
316	44500	95878
317	44628	95712
318	44749	95530
319	44880	95371
320	45005	95198
321	45128	95023
322	45256	94856
323	45384	94691
324	45440	94375
325	45565	94205
326	45713	94082
327	45822	93880
328	45948	93712
329	46055	93507
330	46184	93344
331	46316	93191
332	46441	93022
333	46584	92889
334	46708	92719
335	46829	92543
336	46957	92381
337	47071	92194
338	47201	92035
339	47320	91858
340	47440	91681
341	47569	91522
342	47692	91353
343	47784	91124
344	47970	91074
345	48094	90907
346	48218	90739
347	48308	90509
348	48434	90346
349	48563	90189
350	48731	90105
351	48850	89928
352	48997	89806
353	49138	89670
354	49269	89518
355	49420	89401
356	49553	89251
357	49681	89094
358	49824	88962
359	49947	88794
360	50057	88605
361	50168	88418
362	50297	88263
363	50437	88127
364	50565	87970
365	50685	87799
366	50816	87648
367	50947	87497
368	51073	87337
369	51193	87167
370	51301	86976
371	51426	86817
372	51539	86635
373	51670	86486
374	51788	86313
375	51905	86141
376	52117	86125
377	52245	85970
378	52382	85830
379	52532	85710
380	52673	85577
381	52797	85415
382	52920	85252
383	53086	85159
384	53220	85014
385	53341	84848
386	53476	84706
387	53596	84538
388	53726	84387
389	53849	84226
390	53984	84084
391	54145	83981
392	54268	83818
393	54388	83653
394	54516	83499
395	54646	83349
396	54767	83185
397	54879	83008
398	55031	82892
